№ по частотному списку,"произношение (перетащил мышкой со словаря LINGVO, www.lingvoda.ru)",УПРОЩЕННЫЙ иероглиф,"традиционный иероглиф, до №100 (если он отличается от упрощенного)",русский перевод (компьютер-переводом),,Компонент 1,Компонент 2,Компонент 3,Компонент 4,,MAO story,Моя?
29,zi3,子,,сын,сын; ребенок; семя; первый циклический знак (из двенадцати); похоже на 了; похоже на 予,египетский посох,,,,,"Я привез голубой стеклянный (3 тон) посох из Египта, чтобы колотить им своего СЫНА. Для непослушного РЕБЕНКА посох всегда пригодится.",
30,yao4,要,,1) хотеть; 2) требовать; надо,1) хотеть; 2) требовать; надо,грузин,женщина,,,,"Грузин так ХОТЕЛ, так ХОТЕЛ, что выстругал себе из деревянного полена (1 тон) девушку. На которую, не боясь заноз и залез. А НУЖНО было ее зашлифовать.",
31,ye3,也,,"тоже, также; и","тоже, также; и",рыбак,,,,,"Рыбак с поломанной удочкой ТОЖЕ, ТАКЖЕ имеет право любить и быть любимым. Пусть даже голубыми (3 тон). ",
32,yi3,以,,"чтобы, в соответствии с, так что, согласно",1) с помощью; посредством; в соответствии с; 2) использовать; брать,мим*,,,,,"Визуально иероглиф похож на морду мима. 
Так вот ЧТОБЫ стать мимом, В СООТВЕСТВИИ с внутренним кодексом мимов. Ты должен уметь молчать и быть голубым (3 тон), Вот и все, ТАК ЧТО решайте сами, подходит ли вам эта профессия. ",
33,shuo1,说,說,"1. говорить, рассказывать 
2. объяснять, уговорить",говорить; разговаривать; рассказывать,маньяк,бомж,рот,поломанные ножки,,"Сексуальный маньяк набил себе в рот тараканьих поломанных ножек, а сверху изо рта торчали усики. И с набитым черным (4 тон) ртом, пытался УБЕДИТЬ, СКЛОНИТЬ меня сделать то же, он долго меня УГОВАРИВАЛ, пытался ОБЪЯСНИТЬ, что это очень полезно для потенции, и очень даже приятно щекотятся тараканьи усики во рту, а на какие еще темы может разговаривать сексуальный маньяк",
34, xue2,学,學,учиться,изучать; учить; учиться; перенимать,тиара,египетский посох,,,,"Египетским посохом тебя будут бить, если ты будешь плохо УЧИТЬСЯ.  А медную (2 тон) тиару тебе дадут, если будешь хорошо УЧИТЬСЯ.",
35,de2 de dei3,得,,получить; добыть; приобрести: должен; (грамматич. частица обстоятельства после глагола),получить; добыть; приобрести,пюпитр,солнце,копье,кран,,,
36,dui4,对,對,"1. пара 
2. верно,  точно, правильно 
3. сличать, проверять","к, правильно, пара (также сч. сл.); парный",пузо,кран,,,,"Толстый и пьяный пузан, собрался залезть на высокий кран и кинуть в прохожих ПАРУ камней (4 тон), которые он держал за пазухой. Но он ТОЧНО, ВЕРНО не долезет. Слишком толстый. Так что это ВЕРНЫЙ для пузана способ сломать себе шею.",
37,xia4,下,,"1. под, снизу, нижний  
2. следующий, будущий, последний",нижний; низ; вниз,копье,сучок,,,,"Копье воткнулось в сучок, ПОД, СНИЗУ которого сидел черный(4 тон) кот.(жил он под ним) ПОСЛЕДНИЙ раз ему отхватило ухо таким копьем. А в СЛЕДУЮЩИЙ раз, так, скорее всего и совсем зашибет нахрен.  Для него так и осталось загадкой, кто же кидал эти копья в его сучок.",
38,na4 nei4,那,,тот; то,тот; то,нефертити,удочка,,,,,
39,ke3,可,,"1. мочь, быть способным 
2 стоить, заслуживать. 
3. да, согласен",можно; мочь; разрешается; противительный союз однако; да только; но,бластер,рот,,,,"Рот и пистолет. Этот рот СПОСОБЕН, МОЖЕТ поместить себе в рот и там спрятать наш боевой пистолет «ТТ» с ручкой обмотанной синей (3 тон) изолентой. 
Он СОГЛАСЕН на это. Так что ЗАСЛУЖИВАЕТ нашей похвалы.",
40,guo4,过,過,"1. пройти, перейти, проехать, переехать 
2 пересекать, переходить 
3. пропустить","1)превосходить, превышать; чересчур; слишком; 2) прошедшее, прошлое; 3) ошибочное",маркитантка ,кран,,,,"маркитантка долго не решалась ПЕРЕСЕЧЬ, ПЕРЕЙТИ стройку, на которой стоял большой и страшный черный (4 тон) кран, из которого доносился пошлые смешки. ",
41,yu2,于,於,"1. в, на  
2 у, к","универсальный предлог литературного языка в; с; к; от; для; у, около; похоже на 干 gān касаться, иметь отношение; делать; сухой, щит; похоже на 千 qiān тысяча; кило-",отбойный молоток,,,,,Отбойный молоток сломался Его медное (2 тон) жало согнулось У самого основания. В нем появились трещины. Нужно вставить В отбойный молоток новое жало.,
42,zhi1,之,,показатель определения,"показатель определения, структурная частица; подчёркивает, что до — определение, после — определяющее",пчела,коленка,лодка,,,"Я грёб в лодке, как вдруг пчела подлетела укусила меня в коленку. Я вскочил и закричал: ""ЭТО что за дела!?""",1
43,hou4,后,後,"1. позади, сзади  
2. после, потом, затем 
3. королева","задний; сзади, позади, за после; зеркально похоже на 司",крокодил,рот,копье,,,"Слепой крокодильчик, с немного приподнятым носом, запихал копье прямо себе в рот и ПОТОМ, ЗАТЕМ он умер, так и не став черной (4 тон) КОРОЛЕВОЙ ( ох уж эти детские мечты :).  Копье же вылезло СЗАДИ. Так, как он был слепой, он  не понял, что пихает себе в рот. 
Кошмар какой-то :)",
44,zhe zhao2 zhuo2,着,,"1. достигнуть
2. продолжать
3. грамматич. частица продолженности при глаголе","подвергнуть(ся) чему-либо; испытать; трогать, обидеть",баран,лестница,,,,баран запрыгнул на солнце,1
45,zhu3,主,,"1. хозяин, владелец, господин, владыка 
2. бог, господь 
3. главный",хозяин; господин,пчела,король,,,,"Если на короля сядет священная голубая (3 тон) пчелка, тот и станет ВЛАДЕТЬ всем миром. Он станет ВЛАДЫКОЙ и ГОСПОДИНОМ. И будет ГЛАВНЫМ на всех земле аж 10 веков.",
46,neng2,能,,"1. мочь, быть способный 
2. можно, возможно",1) способный; способность; мочь; уметь; 2) энергия,кулек,Нефертити,матрос,,,"Два пьяных матросика, встав друг другу на плечи, пытаются положить кулек конфет на огромную медную (2 тон) статую Нефертити. Только в таком состоянии они МОГУТ, СПОСОБНЫ на такой поступок. ВОЗМОЖНО, им лучше не пить.",
47,li3,里,裡,"1) внутри; 2) деревня; 3) ли (мера длины, равная 0,5 км);","1) внутри; 2) деревня; 3) ли (мера длины, равная 0,5 км); похоже на 黑 чёрный",индус,,,,,ключ,
48,duo1,多,,много; многочисленный; множиться,много; многочисленный; множиться; в словообразовании много-; поли-,кенгуру,кенгуру,,,,"В Австралии, на зеленом (1 тон) континенте, развелось МНОГО кенгуру, они решили сыграть в чехарда (один прыгает через другого)",
49,xiao3,小,,малость; маленький; мелкий; незначительный,малость; маленький; мелкий; незначительный,самолет,,,,,МАЛЕНЬКИЙ самолетик,
50,er2,而,,союз соединительный и; да; к тому же; но; а,союз соединительный и; да; к тому же; но; а,мина,,,,,ключ,
51,ni3,你,,ты; вы; твой; ваш,ты; вы; твой; ваш,человек,чубчик,самолет,,,"Худой и злой человечек отрастил такой большой чуб, что в нем запутываются самолетики, ну не гад а? Так вот ТЫ такой же гад. И ТВОЙ чубчик не чуть не лучше. Такие чубчики носят только голубые ( 3 тон)",
52,tian1,天,,"1. небо, небеса 
2. день",1) небо; 2) день; 3) период времени,копье,великан,,,,"Великан с деревянным (1 тон) копьем, без наконечника. Он целый ДЕНЬ кидал его в НЕБО. О, НЕБЕСА, покарайте богохульника быстрее же !",
53, jia1,家,,"семья, дом",семья; семейство,берет,свинья,,,,"Заглядываю под зеленый (1 тон) берет, а там живет СЕМЬЯ карликовых свиней, они смотрят на меня жалостливыми слезливыми глазками, этот зеленый берет, уже давно стал их ДОМОМ ",
54,qu4,去,,"покидать, уходить",уходить; отправляться; идти,колба,,,,,"С колбой с черным (4 тон) вирусом внутри, нельзя УХОДИТЬ из лаборатории, и даже ПОКИДАТЬ свое место",
55,gong1,工,,"работа, работать",работа; работать; труд; рабочий; изображение плотницкого угольника,гантель,,,,,Гантелю мне на РАБОТЕ выдали ядовито зеленую (1 тон) и к тому же деревянную(1 тон) С такой стыдно теперь на людях работать. А РАБОТАЮ я забивая гвозди гантелей. ,
56,shi2,十,,десять,1) десять; десятый; 2) целиком; совершенно,10,,,,,"десятина — «десятая часть» дохода, традиционно шла церкви, символ которой — крест на медном (2 тон) куполе.",1
57,yong4,用,,"употреблять, использовать; применять; пользоваться; польза; применение","употреблять, использовать; применять; пользоваться; польза; применение",бабушка Нефертити,,,,,"Бабушку Нефертити можно ИСПОЛЬЗОВАТЬ как тумбочку, ведь она как раз маленькая, грязная(4 тон) и сморщенная. ",
58,zuo4,作,,делать,делать,человек,расческа,,,,"Человечек с каменной (4 тон) расческой ДЕЛАЕТ такие трюки и фокусы, что обхохочешься.",
59,fen1,分,,"1. делить, разделить 
2.  минута, часть, цент, фын - сотая часть юаня  
3. (fen4) долг, обязанность 
4. содержание, состав",делить(ся); различать; минута; сч. сл.,юбочка,,,,,"Юбочка, в зеленый (1 тон) горох это ЧАСТЬ, моего гардероба. У вас разве не так:) Я ценю каждую МИНУТУ,  когда я в ней. Хотя стоила она мне всего 1 ФЫН. Совет, купите себе такую же и ДЕЛИТЕ радость вместе со мной. ДОЛГ каждого из нас купить юбочку себе и совсем не важно входит ли в ее СОСТАВ хлопок.",
60,fa1,发,髮,"1. волосы 
2. [fa1] выдать, раздать 
3. стрелять, выпускать","1) выпускать; испускать; 2) послать, отослать",катана,пузо,пчела,,,"Пузану мечом катаной обчекрыжили его черные (4 тон) ВОЛОСЫ, это они летят в разные стороны (а не пчелки) После ему ВЫДАЛИ рогатку, чтобы он мог СТРЕЛЯТЬ по врагам, пузырек с зеленкой (1 тон) И забрали в армию.",
61,zi4,自,,"1) сам; свой; собственный; 2) откуда-то, от, из","1) сам; свой; собственный; 2) откуда-то, от, из",лестница,пчела,,,,"На большой лестнице поселилась черная злая пчелка, С черным (4 тон) жалом. С ТЕХ ПОР мы больше не лазим на чердак. ",
62,cheng2,成,,"1.  завершиться успехом, успех 2. стать, становиться, cделаться 3.взрослый. 4. весь, целый. 5. ладно, идет, годится, хорошо.","1) завершиться успехом; успех; 2) стать, результат",стул*,таэквондоист,,,,"Таэквондоист держит в руке за спинку, стул(опять импровизация) Он захотел СТАТЬ танцором. ДАЖЕ ЗАКОНЧИЛ, УСПЕШНО ЗАВЕРШИЛ ходить в танцевальную школу. Как только он берет в руке стул, сразу ДЕЛАЕТСЯ, СТАНОВИТСЯ как ненормальный. Может танцевать ЦЕЛЫЙ, ВЕСЬ день. Правда он никогда не снимает с себя кимоно и свой красный (2 тон) пояс. Так и танцует, грациозно вальсируя как ВЗРОСЛЫЙ, время от времени подпрыгивая и пинаясь. Ну что ж и так ГОДИТЬСЯ.",
63,dou1,都,,"все, оба, весь","(обобщ. наречие перед сказ) все, всё, всегда; даже; вообще, в общем",прыгун,солнце,удочка,,,"Прыгун Бубка взял в руки удочку вместо прыгательного шеста и попытался перепрыгнуть солнце. ВСЕ, ОБЕ его попытки закончились безрезультатно. Только сломал деревянную (1 тон) удочку.",
64,fang1,方,,"1) квадрат; квадратный 2) способ; 3) сторона, регион","1) квадрат; квадратный 2) способ; 3) сторона, регион",футболист,,,,,Футболист бегает по СТОРОНАМ зеленого (1 тон) КВАДРАТного поля,
65,min2,民,,"народ, народный.",народ; народный,шапка,мафиози,,,,"Мафиози надел вместо кепки, шапку ушанку с красным (2 тон) околышем(это та штука, что у «мафиози» на голове), чтобы не выделяться из НАРОДА",
66,hao3 hao4,好,,хороший; хорошо,хороший; хорошо,женщина,посох,,,,женщина с крестом,1
67,ri4,日,,"день, солнце",1) солнце; 2) день; сутки; похоже на 曰 yuē говорить; называть,солнце,,,,,"СОЛНЦЕ светит, а ДЕНЬ все равно черный (4 тон), из-за затмения.",
68,hai2,还,還,"ещё; всё ещё, тоже, по-прежнему","ещё; всё ещё еще, тоже, по-прежнему",нога,нет,,,,"Маркитантка с большой красной надписью (2 тон) «Нет», на китайском. ВСЕ ЕЩЕ, продолжает заниматься  проституцией.  Она УЖЕ втянула в это грязное дело своих родных, и друзей. ",
69,jing1,经,經,"проходить (через, сквозь, мимо); 2) через; посредством; путём","проходить (через, сквозь, мимо); 2) через; посредством; путём",сопливый нос,безголовый марабу,гантель,,,,
70,mei2 mo4,没,,отрицательная частица с глаголами НЕ; тонуть,"отрицательная частица; как правило, употребляется с глаголами прошедшего времени не",вода,Наполеон,,,,"весь флот Наполеона УТОНУЛ в Трафальгарской битве в синей морской (3 тон) пучине, только брызги остались, НЕТ у Франции больше флота.",1
71,tong2,同,,"1. одинаковый, тот же самый, такой же, подобный 
2. вместе, совместно","одинаковый, тождественный; совпадать; быть общим; вместе",турник,копье,рот,,,"Под турником лежит мертвый рот, весь в крови (2 тон), проткнутый копьем. ПОДОБНЫМ образом было уже убито 17 ртов. И вот очередной ПОХОЖИЙ случай. ТАКОЙ ЖЕ произошел 2 дня назад. Правда, вместе со ртом был убит и его владелец.",
72,ru2,如,,"словно, такой же, как",1) подобно; наподобие; как; такой же; 2) если,женщина,рот,,,,"Красный (2 тон) рот у этой девушки, ТАКОЙ ЖЕ, КАК у Анжелины Джоли.",
73,ta1,她,,она; её,она; её,женщина,рыбак,,,,"Девушка, вроде приличная с виду, но вырвала и сломала у рыбака удочку. ОНА так прикалывается, и ЕЙ это всегда нравилось. Но рыбак тоже не промах и за это взял ЕЕ отдубасил поломанной деревянной (1 тон) удочкой, аж щепки летели во все стороны.",
74,me ma2,么,,вопросительная конечная частица,вопросительная конечная частица,лист,мешок,,,,,
75,qi3,起,,1) начиная от; с (такого-то времени); 2) вставать; подниматься; трогаться (с места),1) начиная от; с (такого-то времени); 2) вставать; подниматься; трогаться (с места),летучий голландец,морской конек,,,,"Конек сел на корабль голландца в надежде, что тот ПОДНИМЕТ его из синей морской пучины.",
76,ben3,本,,"1. корень, основа  
2. тетрадь",1) корень; основа; первопричина; 2) стебель; 3) книга; подлинник,дерево,копье,,,,"Дерево проткнули копьем у его ОСНОВАНИЯ, чтобы затем за копье поднять и вырвать дерево с КОРНЕМ. Но копье разбилось, так как оно было стеклянным (3 тон). Жалко, ведь из корней дерева можно было сделать школьные ТЕТРАДКИ.",1
77,xing2 hang2,行,,"1) делать; 2) ряд, шеренга; 3) идти, ехать; 4) все в порядке","1) делать; 2) ряд, шеренга; 3) идти, ехать; 4) все в порядке",консерватория,,,,,ключ,
78, xin1,心,,сердце,1) сердце; 2) душа; чувство,сердце,,,,,"Изумрудное (1 тон) СЕРДЦЕ, понятно, что держим его не в груди, а в специальном деревянном(1) пенале с замочком.",
79,suo3,所,,место; месторасположение; помещение,место; месторасположение; помещение,электротопор,гиббон,,,,,
80,ran2,然,,"1. правильно, правильный  
2. но, однако",1) правильный; справедливый; правильно 2) так как,кенгуру,собака,пчелка,огонь,,"Собака за то, что кенгуру слопала очень редкую австралийскую красную (2 тон) пчелку, кинула кенгуру в огонь. Это был ПРАВИЛЬНЫЙ поступок, собака всегда делала все ПРАВИЛЬНО. ОДНАКО пчелку жалко.",
81,shi4,事,,дело; факт; событие,дело; факт; событие,ручка,рот,копье,,,,
82,xian4,现,現,"сейчас, текущий, настоящий",1) появляться; обнаруживаться; 2) сейчас,король,бомж,,,,"Король потребовал у старого бомжа, что бы тот СЕЙЧАС же отдал ему свою блестящую черную (4 тон) коробку. А то в НАСТОЯЩИЙ момент, королю скучно.",
83,san1,三,,три,три,3,,,,,,
84,jia1,加,,"прибавить, сложить",прибавлять; добавлять; присоединять; увеличивать,калашников,рот,,,,"Рот под дулом автомата Калашникова, ловко ПРИБАВЛЯЕТ и СКЛАДЫВАЕТ шестизначные числа. Зря старается, автомат деревянный (1 тон)",
85,xiang3,想,,"думать, полагать, размышлять",думать; размышлять; хотеть,дерево,сердце,лестница,,,"Приставив к дереву лестницу, я залез наверх и ПОДУМАВ скинул свое большое сердце вниз. Оно разлетелось, как стеклянное (3 тон). Теперь я ВЕРЮ, что теперь сердечные недуги мне не страшны. Я так ДУМАЮ.",
86,mian4,面,,"сторона, поверхность",1) лицо; наружность; 2) сторона; 3) мука; порошок; 4) лапша,супердинамит,,,,,"Мега динамитом можно взорвать любую ПОВЕРХНОСТЬ, превратив ее просто в черную ( 4 тон) МУКУ.",
87,kai1,开,開,1) начинать; 2) открывать; раскрывать; отворять,1) начинать; 2) открывать; раскрывать; отворять,японские ворота,,,,,ключ,
88,dian4,电,電,электричество,"электричество; электрический; электро-; нужно сделатьОМ, как первообразную ключей 黾 měng лягушка и 龟 guī черепаха",скат,,,,,ключ,
89,zhong3 ,种,種,"вид, тип, раса","1) семя; семена; 2) вид, сорт",дама,стрекоза,,,,"Пиковая дама уже много лет выводит специальный и очень дорогой голубой (3 тон) ТИП, ВИД стрекоз",
90,qian2,前,,"1. спереди, передний 
2. до, раньше, перед. 
3 передовой, первый","1) перед; впереди; предыдущий; передний; 2) до этого, более ранний",аист,нефертити,меч,,,"Нефертити взмахнула мечом, и над ней взмыл аист. Он будет лететь ПЕРЕД своей хозяйкой ДО самого ее красного (2 тон) дворца. Всегда СПЕРЕДИ, на ПЕРЕДНЕМ крае. И ПЕРВЫМ влетит всюду. ",
91,dang1,当,當,"1) быть, являться; становиться кем-либо; нести обязанности; работать кем-либо; 2) как только","1) быть, являться; становиться кем-либо; нести обязанности; работать кем-либо; 2) как только",ласточка,комар,,,,,
92,mei3,美,,1) красивый; красота; 2) Америка,1) красивый; очаровательный; прекрасный; красота; 2) Америка,баран,великан,,,,Великан выбрал самого КРАСИВОГО барана в своем стаде,1
93,er4,二,,два,два; второй,2,,,,,,
94,wai4,外,,"1. снаружи, внешний,  
2. иностранный  
3. чужой, другой","внешний, наружный; снаружи; вне; за",кенгуру,сучок,,,,"Кенгуру и сучок  История значит следующая. В этом сучке, замаскированном под обгорелый (4 тон) пень, ВНЕШНЯЯ, ИНОСТРАННАЯ разведка прятала шпионские сведения. Но кенгуру прыгая по лесу, случайно заметил СНАРУЖИ сучка, мигающую желтую лампочку. И молодец, сдал их в руки наших разведчиков.  И ему выдали целый центнер морковки, которую тот запихал себе в сумку. Ведь кенгуру они же заразы, сумчатые.",
95,dao4,道,,"1. путь, дорога  
2. учение, метод, способ  
3. правило, принцип",1) путь; дорога; 2) метод; 3) говорить; 4) даосизм,нога,лестница,аист,,,"Маркитантка прогнала аиста, который хотел съесть пчелку, живущую на лестнице. 
СПОСОБ, МЕТОД она выбрала для этих целей довольно странный. Она встала у аиста на ДОРОГЕ, на его ПУТИ разделась донага, и громко крича и размахивая руками, прыгала и кувыркалась в грязи (4 тон), пока шокированный аист не улетел. Зачем она разделась, аист так и не понял. ",
96,cong2,从,從,"1. следовать 
2. по  
3. из, от, идти за, через, сквозь","1) спокойно; неторопливо; 2) из, откуда-либо; нужно сделатьОМ как первообразную 丛 cóng концентрация",человек,человек,,,,"Два человека вышли ИЗ пункта А, они проСЛЕДОВАЛИ ЧЕРЕЗ границу, прошли СКВОЗЬ детектор
Где и были схвачены и биты ПО голове, до крови (2 тон), пока не окочурились. Не жалейте их, это были контрабандисты. ",
97,dong4,动,動,"1. двигаться,  шевелиться  
2. действовать, приступить к действию",1) двигать(ся); 2) действовать; волновать (чувства); 3) акция,2,мешок,калашников,,,"Чтобы ПРИСТУПИТЬ К ДЕЙСТВИЮ и начать ДЕЙСТВОВАТЬ, нужно взять с собой 2 кулька конфет, лучше, если это будут черные(4 тон) леденцы. Чтобы зарядить ими автомат Калашникова.  Правда, из-за кульков вам будет тяжело ДВИГАТЬСЯ и ШЕВЕЛИТЬСЯ.",
